MonitoringLocationName,latitude,longitude,min_date,max_date
RM 0 - No Name Creek,60.550888,-151.268417,4/28/2014,7/21/2020
RM 1.5 - Kenai Docks,60.54368,-151.22294,4/28/2014,7/21/2020
RM 10 - Beaver Creek,60.548029,-151.14324,4/28/2014,7/21/2020
RM 10.1 - Kenai River,60.539279,-151.142263,4/28/2014,7/21/2020
RM 12.5 - Pillars,60.533743,-151.099258,4/28/2014,7/21/2020
RM 18 - Poachers Cove,60.502005,-151.106973,4/28/2014,7/21/2020
RM 19 - Slikok Creek,60.482318,-151.127053,4/28/2014,7/21/2020
RM 21 - Soldotna Bridge,60.476634,-151.082099,4/28/2014,7/21/2020
RM 22 - Soldotna Creek,60.483364,-151.057656,4/28/2014,7/21/2020
RM 23 - Swiftwater Park,60.480338,-151.030847,4/28/2014,7/21/2020
RM 30 - Funny River,60.489963,-150.860982,4/28/2014,7/21/2020
RM 31 - Morgans Landing,60.498284,-150.863121,4/28/2014,7/21/2020
RM 36 - Moose River,60.53687,-150.754724,4/28/2014,7/21/2020
RM 40 - Bing's Landing,60.515441,-150.702069,4/28/2014,7/21/2020
RM 43 - US Dow Island,60.489844,-150.636905,4/28/2014,7/21/2020
RM 44 - Mouth of Killey River,60.481518,-150.632498,4/28/2014,7/21/2020
RM 50 - Skilak Lake Outflow,60.467517,-150.507789,4/28/2014,7/21/2020
RM 6.5 - Cunningham Park,60.54081,-151.18278,4/28/2014,7/21/2020
RM 70 - Jims Landing,60.481392,-150.11502,4/28/2014,7/21/2020
RM 74 - Russian River,60.484622,-149.993955,4/28/2014,7/21/2020
RM 79.5 - Juneau Creek,60.481392,-150.11502,7/20/2015,7/21/2020
RM 82 - Kenai Lake Bridge,60.492007,-149.810844,4/28/2014,7/21/2020
